"book_id";"isbn";"authors";"original_publish_year";"title";"qty_on_hand";"qty_unavailable";"book_rating";"image_url";"small_image_url"
1;9780439023483;"Suzanne Collins";2008;"The Hunger Games (The Hunger Games, #1)";10;0;4.34;"https://images.gr-assets.com/books/1447303603m/2767052.jpg";"https://images.gr-assets.com/books/1447303603s/2767052.jpg"
2;9780439554934;"J.K. Rowling, Mary GrandPr??";1997;"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)";10;0;4.44;"https://images.gr-assets.com/books/1474154022m/3.jpg";"https://images.gr-assets.com/books/1474154022s/3.jpg"
3;9780316015849;"Stephenie Meyer";2005;"Twilight (Twilight, #1)";10;0;3.57;"https://images.gr-assets.com/books/1361039443m/41865.jpg";"https://images.gr-assets.com/books/1361039443s/41865.jpg"
4;9780061120081;"Harper Lee";1960;"To Kill a Mockingbird";10;0;4.25;"https://images.gr-assets.com/books/1361975680m/2657.jpg";"https://images.gr-assets.com/books/1361975680s/2657.jpg"
5;9780743273567;"F. Scott Fitzgerald";1925;"The Great Gatsby";10;0;3.89;"https://images.gr-assets.com/books/1490528560m/4671.jpg";"https://images.gr-assets.com/books/1490528560s/4671.jpg"
6;9780525478817;"John Green";2012;"The Fault in Our Stars";10;0;4.26;"https://images.gr-assets.com/books/1360206420m/11870085.jpg";"https://images.gr-assets.com/books/1360206420s/11870085.jpg"
7;9780618260307;"J.R.R. Tolkien";1937;"The Hobbit";10;0;4.25;"https://images.gr-assets.com/books/1372847500m/5907.jpg";"https://images.gr-assets.com/books/1372847500s/5907.jpg"
8;9780316769177;"J.D. Salinger";1951;"The Catcher in the Rye";10;0;3.79;"https://images.gr-assets.com/books/1398034300m/5107.jpg";"https://images.gr-assets.com/books/1398034300s/5107.jpg"
9;9781416524797;"Dan Brown";2000;"Angels & Demons  (Robert Langdon, #1)";10;0;3.85;"https://images.gr-assets.com/books/1303390735m/960.jpg";"https://images.gr-assets.com/books/1303390735s/960.jpg"
10;9780679783261;"Jane Austen";1813;"Pride and Prejudice";10;0;4.24;"https://images.gr-assets.com/books/1320399351m/1885.jpg";"https://images.gr-assets.com/books/1320399351s/1885.jpg"
11;9781594480001;"Khaled Hosseini";2003;"The Kite Runner";10;0;4.26;"https://images.gr-assets.com/books/1484565687m/77203.jpg";"https://images.gr-assets.com/books/1484565687s/77203.jpg"
12;9780062024035;"Veronica Roth";2011;"Divergent (Divergent, #1)";10;0;4.24;"https://images.gr-assets.com/books/1328559506m/13335037.jpg";"https://images.gr-assets.com/books/1328559506s/13335037.jpg"
13;9780451524934;"George Orwell, Erich Fromm, Cel??l ??ster";1949;"1984";10;0;4.14;"https://images.gr-assets.com/books/1348990566m/5470.jpg";"https://images.gr-assets.com/books/1348990566s/5470.jpg"
14;9780452284244;"George Orwell";1945;"Animal Farm";10;0;3.87;"https://images.gr-assets.com/books/1424037542m/7613.jpg";"https://images.gr-assets.com/books/1424037542s/7613.jpg"
15;9780553296981;"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday";1947;"The Diary of a Young Girl";10;0;4.1;"https://images.gr-assets.com/books/1358276407m/48855.jpg";"https://images.gr-assets.com/books/1358276407s/48855.jpg"
16;9780307269752;"Stieg Larsson, Reg Keeland";2005;"The Girl with the Dragon Tattoo (Millennium, #1)";10;0;4.11;"https://images.gr-assets.com/books/1327868566m/2429135.jpg";"https://images.gr-assets.com/books/1327868566s/2429135.jpg"
17;9780439023491;"Suzanne Collins";2009;"Catching Fire (The Hunger Games, #2)";10;0;4.3;"https://images.gr-assets.com/books/1358273780m/6148028.jpg";"https://images.gr-assets.com/books/1358273780s/6148028.jpg"
18;9780439655484;"J.K. Rowling, Mary GrandPr??, Rufus Beck";1999;"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)";10;0;4.53;"https://images.gr-assets.com/books/1499277281m/5.jpg";"https://images.gr-assets.com/books/1499277281s/5.jpg"
19;9780618346252;"J.R.R. Tolkien";1954;"The Fellowship of the Ring (The Lord of the Rings, #1)";10;0;4.34;"https://images.gr-assets.com/books/1298411339m/34.jpg";"https://images.gr-assets.com/books/1298411339s/34.jpg"
20;9780439023513;"Suzanne Collins";2010;"Mockingjay (The Hunger Games, #3)";10;0;4.03;"https://images.gr-assets.com/books/1358275419m/7260188.jpg";"https://images.gr-assets.com/books/1358275419s/7260188.jpg"
21;9780439358078;"J.K. Rowling, Mary GrandPr??";2003;"Harry Potter and the Order of the Phoenix (Harry Potter, #5)";10;0;4.46;"https://images.gr-assets.com/books/1387141547m/2.jpg";"https://images.gr-assets.com/books/1387141547s/2.jpg"
22;9780316166685;"Alice Sebold";2002;"The Lovely Bones";10;0;3.77;"https://images.gr-assets.com/books/1457810586m/12232938.jpg";"https://images.gr-assets.com/books/1457810586s/12232938.jpg"
23;9780439064864;"J.K. Rowling, Mary GrandPr??";1998;"Harry Potter and the Chamber of Secrets (Harry Potter, #2)";10;0;4.37;"https://images.gr-assets.com/books/1474169725m/15881.jpg";"https://images.gr-assets.com/books/1474169725s/15881.jpg"
24;9780439139600;"J.K. Rowling, Mary GrandPr??";2000;"Harry Potter and the Goblet of Fire (Harry Potter, #4)";10;0;4.53;"https://images.gr-assets.com/books/1361482611m/6.jpg";"https://images.gr-assets.com/books/1361482611s/6.jpg"
25;9780545010225;"J.K. Rowling, Mary GrandPr??";2007;"Harry Potter and the Deathly Hallows (Harry Potter, #7)";10;0;4.61;"https://images.gr-assets.com/books/1474171184m/136251.jpg";"https://images.gr-assets.com/books/1474171184s/136251.jpg"
26;9780307277674;"Dan Brown";2003;"The Da Vinci Code (Robert Langdon, #2)";10;0;3.79;"https://images.gr-assets.com/books/1303252999m/968.jpg";"https://images.gr-assets.com/books/1303252999s/968.jpg"
27;9780439785960;"J.K. Rowling, Mary GrandPr??";2005;"Harry Potter and the Half-Blood Prince (Harry Potter, #6)";10;0;4.54;"https://images.gr-assets.com/books/1361039191m/1.jpg";"https://images.gr-assets.com/books/1361039191s/1.jpg"
28;9780140283331;"William Golding";1954;"Lord of the Flies";10;0;3.64;"https://images.gr-assets.com/books/1327869409m/7624.jpg";"https://images.gr-assets.com/books/1327869409s/7624.jpg"
29;9780743477111;"William Shakespeare, Robert           Jackson";1595;"Romeo and Juliet";10;0;3.73;"https://images.gr-assets.com/books/1327872146m/18135.jpg";"https://images.gr-assets.com/books/1327872146s/18135.jpg"
30;9780297859382;"Gillian Flynn";2012;"Gone Girl";10;0;4.03;"https://images.gr-assets.com/books/1339602131m/8442457.jpg";"https://images.gr-assets.com/books/1339602131s/8442457.jpg"
31;9780399155341;"Kathryn Stockett";2009;"The Help";10;0;4.45;"https://images.gr-assets.com/books/1346100365m/4667024.jpg";"https://images.gr-assets.com/books/1346100365s/4667024.jpg"
32;9780142000671;"John Steinbeck";1937;"Of Mice and Men";10;0;3.84;"https://images.gr-assets.com/books/1437235233m/890.jpg";"https://images.gr-assets.com/books/1437235233s/890.jpg"
33;9780739326228;"Arthur Golden";1997;"Memoirs of a Geisha";10;0;4.08;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
34;9781612130291;"E.L. James";2011;"Fifty Shades of Grey (Fifty Shades, #1)";10;0;3.67;"https://images.gr-assets.com/books/1385207843m/10818853.jpg";"https://images.gr-assets.com/books/1385207843s/10818853.jpg"
35;9780061122416;"Paulo Coelho, Alan R. Clarke";1988;"The Alchemist";10;0;3.82;"https://images.gr-assets.com/books/1483412266m/865.jpg";"https://images.gr-assets.com/books/1483412266s/865.jpg"
36;9780385732554;"Lois Lowry";1993;"The Giver (The Giver, #1)";10;0;4.12;"https://images.gr-assets.com/books/1342493368m/3636.jpg";"https://images.gr-assets.com/books/1342493368s/3636.jpg"
